NOM_AGENT_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
percepteur	percevoir	perception	0.16902653657997632	0.44641648067354833	0.0319785657693589	pVbAc
perceptrice	percevoir	perception	0.16864545862033214	0.44641648067354833	0.19201963042930828	pVbAc
perceur	percer	perçage	0.3536590882150748	0.3652017321066631	0.14429825417150702	pVbAc
perceur	percer	percement	0.3536590882150748	0.3766681322456088	0.03340067027285167	pVbAc
perceur	percer	percée	0.3536590882150748	0.5866098299937494	0.09790534631837534	pVbAc
perceuse	percer	percée	0.3482989220257266	0.5866098299937494	0.3483897707710201	pVbAc
perceuse	percer	percement	0.3482989220257266	0.3766681322456088	0.12628209178295632	pVbAc
perceuse	percer	perçage	0.3482989220257266	0.3652017321066631	0.5811443844445596	pAgAc
percolateur	percoler	percolation	0.35146964093211475	0.39882461559172677	0.3622706047074861	pVbAc
percuteur	percuter	percussion	0.24966897896972484	0.05085994002087307	0.47932756031096724	pAgAc
perforateur	perforer	perforation	0.640155177422651	0.61102758222885	0.48692615048933674	pAgVb
perforatrice	perforer	perforation	0.5038110071551172	0.61102758222885	0.471697726135498	pVbAc
persécuteur	persécuter	persécution	0.6714963366446915	0.656048852228546	0.6292806250200346	pAgVb
persifleur	persifler	persiflage	0.410217055352432	0.4597807240430611	0.4763880962596972	pAgAc
perturbateur	perturber	perturbation	0.42995010776467957	0.4440344959505861	0.5381915822863844	pAgAc
peseur	peser	pesage	0.21233049933450132	0.18295219440099458	0.32148158299771057	pAgAc
peseur	peser	pesée	0.21233049933450132	0.2365225038248505	0.28090995394235796	pAgAc
péteur	péter	pétage	0.35739073939110155	0.6048090789410273	0.37669538822018206	pVbAc
pétrisseur	pétrir	pétrissage	0.19182899978023135	0.37478249664121477	0.39456946290372163	pAgAc
photocopieur	photocopier	photocopie	0.5655115831373708	0.7320035299668249	0.6628404780166303	pVbAc
piégeur	piéger	piégeage	0.2959675233282408	0.3510731224301144	0.43566709895358585	pAgAc
piégeuse	piéger	piégeage	0.03190116614785313	0.3510731224301144	0.04139893160154183	pVbAc
pileur	piler	pilage	0.24984495065289308	0.4364333904454822	0.13347942912172647	pVbAc
pilleur	piller	pillerie	0.5740896766937688	0.27941249271448226	0.46374069034950727	pAgVb
pilleur	piller	pillage	0.5740896766937688	0.7015948837685267	0.5714731261915577	pVbAc
pinailleur	pinailler	pinaillage	0.6109912573668261	0.5597124429397881	0.6340735118155324	pAgAc
pinailleur	pinailler	pinaillerie	0.6109912573668261	0.023936737332608902	0.10494764266837453	pAgVb
pinceur	pincer	pincement	0.5126098883189183	0.5919139057936211	0.23295475120705164	pVbAc
piocheur	piocher	piochage	0.06391852300622602	0.23565248687448917	0.285680751632129	pAgAc
pipeur	piper	piperie	0.03201966982859127	0.16523621515498157	0.0034240765820407974	pVbAc
pique-niqueur	pique-niquer	pique-nique	0.4663374211503153	0.6202581914119872	0.45234238579336444	pVbAc
piqueur	piquer	piqûre	0.4342376672326929	0.5566127087442844	0.49451908220841473	pVbAc
piqueur	piquer	piquage	0.4342376672326929	0.35473506637492963	0.3011868765787721	pAgVb
piqueur	piquer	piqué	0.4342376672326929	0.29286767831056976	0.28944304149640104	pAgVb
piqueuse	piquer	piquage	0.3959832813518355	0.35473506637492963	0.1331184305536729	pAgVb
piqueuse	piquer	piqué	0.3959832813518355	0.29286767831056976	0.12255593667601114	pAgVb
piqueuse	piquer	piqûre	0.3959832813518355	0.5566127087442844	0.40204741930164106	pVbAc
pisteur	pister	pistage	0.4404541750270525	0.42732299297833576	0.42200980121313036	pAgVb
placeur	placer	plaçage	0.12780645135466237	0.1178629367191084	0.10800963979331077	pAgVb
placeur	placer	placement	0.12780645135466237	0.3630406695819583	0.2907955141231851	pVbAc
plafonneur	plafonner	plafonnage	0.035209262571356495	0.11532821609169536	0.23082213168228077	pAgAc
plafonneur	plafonner	plafonnement	0.035209262571356495	0.45123217886682626	0.03627328485296291	pVbAc
